Name,Generation,Type1,Type2,Height,Weight
Steelix,2,Steel,Ground,92,4000
Snubbull,2,Fairy,,6,78
Granbull,2,Fairy,,14,487
Qwilfish,2,Water,Poison,5,39
Scizor,2,Bug,Steel,18,1180
Shuckle,2,Bug,Rock,6,205
Heracross,2,Bug,Fighting,15,540
Sneasel,2,Dark,Ice,9,280
Teddiursa,2,Normal,,6,88
Ursaring,2,Normal,,18,1258
Slugma,2,Fire,,7,350
Magcargo,2,Fire,Rock,8,550
Swinub,2,Ice,Ground,4,65
Piloswine,2,Ice,Ground,11,558
Corsola,2,Water,Rock,6,50
Remoraid,2,Water,,6,120
Octillery,2,Water,,9,285
Delibird,2,Ice,Flying,9,160
Mantine,2,Water,Flying,21,2200
Skarmory,2,Steel,Flying,17,505
Houndour,2,Dark,Fire,6,108
Houndoom,2,Dark,Fire,14,350
Kingdra,2,Water,Dragon,18,1520
Phanpy,2,Ground,,5,335
Donphan,2,Ground,,11,1200
Porygon2,2,Normal,,6,325
Stantler,2,Normal,,14,712
Smeargle,2,Normal,,12,580
Tyrogue,2,Fighting,,7,210
Hitmontop,2,Fighting,,14,480
Smoochum,2,Ice,Psychic,4,60
Elekid,2,Electric,,6,235
Magby,2,Fire,,7,214
Miltank,2,Normal,,12,755
Blissey,2,Normal,,15,468
Raikou,2,Electric,,19,1780
Entei,2,Fire,,21,1980
Suicune,2,Water,,20,1870
Larvitar,2,Rock,Ground,6,720
Pupitar,2,Rock,Ground,12,1520
Tyranitar,2,Rock,Dark,20,2020
Lugia,2,Psychic,Flying,52,2160
Ho-Oh,2,Fire,Flying,38,1990
Celebi,2,Psychic,Grass,6,50
Treecko,3,Grass,,5,50
Grovyle,3,Grass,,9,216
Sceptile,3,Grass,,17,522
Torchic,3,Fire,,4,25
Combusken,3,Fire,Fighting,9,195
Blaziken,3,Fire,Fighting,19,520
Mudkip,3,Water,,4,76
Marshtomp,3,Water,Ground,7,280
Swampert,3,Water,Ground,15,819
Poochyena,3,Dark,,5,136
Mightyena,3,Dark,,10,370
Zigzagoon,3,Normal,,4,175
Linoone,3,Normal,,5,325
Wurmple,3,Bug,,3,36
Silcoon,3,Bug,,6,100
Beautifly,3,Bug,Flying,10,284
Cascoon,3,Bug,,7,115
Dustox,3,Bug,Poison,12,316
Lotad,3,Water,Grass,5,26
Lombre,3,Water,Grass,12,325
Ludicolo,3,Water,Grass,15,550
Seedot,3,Grass,,5,40
Nuzleaf,3,Grass,Dark,10,280
Shiftry,3,Grass,Dark,13,596
Taillow,3,Normal,Flying,3,23
Swellow,3,Normal,Flying,7,198
Wingull,3,Water,Flying,6,95
Pelipper,3,Water,Flying,12,280
Ralts,3,Psychic,Fairy,4,66
Kirlia,3,Psychic,Fairy,8,202
Gardevoir,3,Psychic,Fairy,16,484
Surskit,3,Bug,Water,5,17
Masquerain,3,Bug,Flying,8,36
Shroomish,3,Grass,,4,45
Breloom,3,Grass,Fighting,12,392
Slakoth,3,Normal,,8,240
Vigoroth,3,Normal,,14,465
Slaking,3,Normal,,20,1305
Nincada,3,Bug,Ground,5,55
Ninjask,3,Bug,Flying,8,120
Shedinja,3,Bug,Ghost,8,12
Whismur,3,Normal,,6,163
Loudred,3,Normal,,10,405
Exploud,3,Normal,,15,840
Makuhita,3,Fighting,,10,864
Hariyama,3,Fighting,,23,2538
Azurill,3,Normal,Fairy,2,20
Nosepass,3,Rock,,10,970
Skitty,3,Normal,,6,110
Delcatty,3,Normal,,11,326
Sableye,3,Dark,Ghost,5,110
Mawile,3,Steel,Fairy,6,115
Aron,3,Steel,Rock,4,600
Lairon,3,Steel,Rock,9,1200
Aggron,3,Steel,Rock,21,3600
Meditite,3,Fighting,Psychic,6,112
Medicham,3,Fighting,Psychic,13,315
Electrike,3,Electric,,6,152
Manectric,3,Electric,,15,402
Plusle,3,Electric,,4,42
Minun,3,Electric,,4,42
Volbeat,3,Bug,,7,177
Illumise,3,Bug,,6,177
Roselia,3,Grass,Poison,3,20
Gulpin,3,Poison,,4,103
Swalot,3,Poison,,17,800
Carvanha,3,Water,Dark,8,208
Sharpedo,3,Water,Dark,18,888
Wailmer,3,Water,,20,1300
Wailord,3,Water,,145,3980
Numel,3,Fire,Ground,7,240
Camerupt,3,Fire,Ground,19,2200
Torkoal,3,Fire,,5,804
Spoink,3,Psychic,,7,306
Grumpig,3,Psychic,,9,715
Spinda,3,Normal,,11,50
Trapinch,3,Ground,,7,150
Vibrava,3,Ground,Dragon,11,153
Flygon,3,Ground,Dragon,20,820
Cacnea,3,Grass,,4,513
Cacturne,3,Grass,Dark,13,774
Swablu,3,Normal,Flying,4,12
Altaria,3,Dragon,Flying,11,206
Zangoose,3,Normal,,13,403
Seviper,3,Poison,,27,525
Lunatone,3,Rock,Psychic,10,1680
Solrock,3,Rock,Psychic,12,1540
Barboach,3,Water,Ground,4,19
Whiscash,3,Water,Ground,9,236
Corphish,3,Water,,6,115
Crawdaunt,3,Water,Dark,11,328
Baltoy,3,Ground,Psychic,5,215
Claydol,3,Ground,Psychic,15,1080
Lileep,3,Rock,Grass,10,238
Cradily,3,Rock,Grass,15,604
Anorith,3,Rock,Bug,7,125
Armaldo,3,Rock,Bug,15,682
Feebas,3,Water,,6,74
Milotic,3,Water,,62,1620
Castform,3,Normal,,3,8
Kecleon,3,Normal,,10,220
Shuppet,3,Ghost,,6,23
Banette,3,Ghost,,11,125
Duskull,3,Ghost,,8,150
Dusclops,3,Ghost,,16,306
Tropius,3,Grass,Flying,20,1000
Chimecho,3,Psychic,,6,10
Absol,3,Dark,,12,470
Wynaut,3,Psychic,,6,140
Snorunt,3,Ice,,7,168
Glalie,3,Ice,,15,2565
Spheal,3,Ice,Water,8,395
Sealeo,3,Ice,Water,11,876
Walrein,3,Ice,Water,14,1506
Clamperl,3,Water,,4,525
Huntail,3,Water,,17,270
Gorebyss,3,Water,,18,226
Relicanth,3,Water,Rock,10,234
Luvdisc,3,Water,,6,87
Bagon,3,Dragon,,6,421
Shelgon,3,Dragon,,11,1105
Salamence,3,Dragon,Flying,15,1026
Beldum,3,Steel,Psychic,6,952
Metang,3,Steel,Psychic,12,2025
Metagross,3,Steel,Psychic,16,5500
Regirock,3,Rock,,17,2300
Regice,3,Ice,,18,1750
Registeel,3,Steel,,19,2050
Latias,3,Dragon,Psychic,14,400
Latios,3,Dragon,Psychic,20,600
Kyogre,3,Water,,45,3520
Groudon,3,Ground,,35,9500
Rayquaza,3,Dragon,Flying,70,2065
Jirachi,3,Steel,Psychic,3,11
Deoxys (Normal Forme),3,Psychic,,17,608
Turtwig,4,Grass,,4,102
Grotle,4,Grass,,11,970
Torterra,4,Grass,Ground,22,3100
Chimchar,4,Fire,,5,62
Monferno,4,Fire,Fighting,9,220
Infernape,4,Fire,Fighting,12,550
Piplup,4,Water,,4,52
Prinplup,4,Water,,8,230
Empoleon,4,Water,Steel,17,845
Starly,4,Normal,Flying,3,20
Staravia,4,Normal,Flying,6,155
Staraptor,4,Normal,Flying,12,249
Bidoof,4,Normal,,5,200
Bibarel,4,Normal,Water,10,315
Kricketot,4,Bug,,3,22
Kricketune,4,Bug,,10,255
Shinx,4,Electric,,5,95
Luxio,4,Electric,,9,305
Luxray,4,Electric,,14,420
Budew,4,Grass,Poison,2,12
Roserade,4,Grass,Poison,9,145
Cranidos,4,Rock,,9,315
Rampardos,4,Rock,,16,1025
Shieldon,4,Rock,Steel,5,570
Bastiodon,4,Rock,Steel,13,1495
Burmy,4,Bug,,2,34
Wormadam (Plant Cloak),4,Bug,Grass,5,65
Mothim,4,Bug,Flying,9,233
Combee,4,Bug,Flying,3,55
Vespiquen,4,Bug,Flying,12,385
Pachirisu,4,Electric,,4,39
Buizel,4,Water,,7,295
Floatzel,4,Water,,11,335
Cherubi,4,Grass,,4,33
Cherrim,4,Grass,,5,93
Shellos,4,Water,,3,63
Gastrodon,4,Water,Ground,9,299
Ambipom,4,Normal,,12,203
Drifloon,4,Ghost,Flying,4,12
Drifblim,4,Ghost,Flying,12,150
Buneary,4,Normal,,4,55
Lopunny,4,Normal,,12,333
Mismagius,4,Ghost,,9,44
Honchkrow,4,Dark,Flying,9,273
Glameow,4,Normal,,5,39
Purugly,4,Normal,,10,438
Chingling,4,Psychic,,2,6
Stunky,4,Poison,Dark,4,192
Skuntank,4,Poison,Dark,10,380
Bronzor,4,Steel,Psychic,5,605
Bronzong,4,Steel,Psychic,13,1870
Bonsly,4,Rock,,5,150
Mime Jr.,4,Psychic,Fairy,6,130
Happiny,4,Normal,,6,244
Chatot,4,Normal,Flying,5,19
Spiritomb,4,Ghost,Dark,10,1080
Gible,4,Dragon,Ground,7,205
Gabite,4,Dragon,Ground,14,560
Garchomp,4,Dragon,Ground,19,950
Munchlax,4,Normal,,6,1050
Riolu,4,Fighting,,7,202
Lucario,4,Fighting,Steel,12,540
Hippopotas,4,Ground,,8,495
Hippowdon,4,Ground,,20,3000
Skorupi,4,Poison,Bug,8,120
Drapion,4,Poison,Dark,13,615
Croagunk,4,Poison,Fighting,7,230
Toxicroak,4,Poison,Fighting,13,444
Carnivine,4,Grass,,14,270
Finneon,4,Water,,4,70
Lumineon,4,Water,,12,240
Mantyke,4,Water,Flying,10,650
Snover,4,Grass,Ice,10,505
Abomasnow,4,Grass,Ice,22,1355
Weavile,4,Dark,Ice,11,340
Magnezone,4,Electric,Steel,12,1800
Lickilicky,4,Normal,,17,1400
Rhyperior,4,Ground,Rock,24,2828
Tangrowth,4,Grass,,20,1286
Electivire,4,Electric,,18,1386
Magmortar,4,Fire,,16,680
Togekiss,4,Fairy,Flying,15,380
Yanmega,4,Bug,Flying,19,515
Leafeon,4,Grass,,10,255
Glaceon,4,Ice,,8,259
Gliscor,4,Ground,Flying,20,425
Mamoswine,4,Ice,Ground,25,2910
Porygon-Z,4,Normal,,9,340
Gallade,4,Psychic,Fighting,16,520
Probopass,4,Rock,Steel,14,3400
Dusknoir,4,Ghost,,22,1066
Froslass,4,Ice,Ghost,13,266
Rotom,4,Electric,Ghost,3,3
Uxie,4,Psychic,,3,3
Mesprit,4,Psychic,,3,3
Azelf,4,Psychic,,3,3
Dialga,4,Steel,Dragon,54,6830
Palkia,4,Water,Dragon,42,3360
Heatran,4,Fire,Steel,17,4300
Regigigas,4,Normal,,37,4200
Giratina (Altered Forme),4,Ghost,Dragon,45,7500
Cresselia,4,Psychic,,15,856
Phione,4,Water,,4,31
Manaphy,4,Water,,3,14
Darkrai,4,Dark,,15,505
Shaymin (Land Forme),4,Grass,,2,21
Arceus,4,Normal,,32,3200
Victini,5,Psychic,Fire,4,40
Snivy,5,Grass,,6,81
Servine,5,Grass,,8,160
Serperior,5,Grass,,33,630
Tepig,5,Fire,,5,99
Pignite,5,Fire,Fighting,10,555
Emboar,5,Fire,Fighting,16,1500
Oshawott,5,Water,,5,59
Dewott,5,Water,,8,245
Samurott,5,Water,,15,946
Patrat,5,Normal,,5,116
Watchog,5,Normal,,11,270
Lillipup,5,Normal,,4,41
Herdier,5,Normal,,9,147
Stoutland,5,Normal,,12,610
Purrloin,5,Dark,,4,101
Liepard,5,Dark,,11,375
Pansage,5,Grass,,6,105
Simisage,5,Grass,,11,305
Pansear,5,Fire,,6,110
Simisear,5,Fire,,10,280
Panpour,5,Water,,6,135
Simipour,5,Water,,10,290
Munna,5,Psychic,,6,233
Musharna,5,Psychic,,11,605
Pidove,5,Normal,Flying,3,21
Tranquill,5,Normal,Flying,6,150
Unfezant,5,Normal,Flying,12,290
Blitzle,5,Electric,,8,298
Zebstrika,5,Electric,,16,795
Roggenrola,5,Rock,,4,180
Boldore,5,Rock,,9,1020
Gigalith,5,Rock,,17,2600
Woobat,5,Psychic,Flying,4,21
Swoobat,5,Psychic,Flying,9,105
Drilbur,5,Ground,,3,85
Excadrill,5,Ground,Steel,7,404
Audino,5,Normal,,11,310
Timburr,5,Fighting,,6,125
Gurdurr,5,Fighting,,12,400
Conkeldurr,5,Fighting,,14,870
Tympole,5,Water,,5,45
Palpitoad,5,Water,Ground,8,170
Seismitoad,5,Water,Ground,15,620
Throh,5,Fighting,,13,555
Sawk,5,Fighting,,14,510
Sewaddle,5,Bug,Grass,3,25
Swadloon,5,Bug,Grass,5,73
Leavanny,5,Bug,Grass,12,205
Venipede,5,Bug,Poison,4,53
Whirlipede,5,Bug,Poison,12,585
Scolipede,5,Bug,Poison,25,2005
Cottonee,5,Grass,Fairy,3,6
Whimsicott,5,Grass,Fairy,7,66
Petilil,5,Grass,,5,66
Lilligant,5,Grass,,11,163
Basculin (Red Striped),5,Water,,10,180
Sandile,5,Ground,Dark,7,152
Krokorok,5,Ground,Dark,10,334
Krookodile,5,Ground,Dark,15,963
Darumaka,5,Fire,,6,375
Darmanitan (Standard Mode),5,Fire,,13,929
Maractus,5,Grass,,10,280
Dwebble,5,Bug,Rock,3,145
Crustle,5,Bug,Rock,14,2000
Scraggy,5,Dark,Fighting,6,118
Scrafty,5,Dark,Fighting,11,300
Sigilyph,5,Psychic,Flying,14,140
Yamask,5,Ghost,,5,15
Cofagrigus,5,Ghost,,17,765
Tirtouga,5,Water,Rock,7,165
Carracosta,5,Water,Rock,12,810
Archen,5,Rock,Flying,5,95
Archeops,5,Rock,Flying,14,320
Trubbish,5,Poison,,6,310
Garbodor,5,Poison,,19,1073
Zorua,5,Dark,,7,125
Zoroark,5,Dark,,16,811
Minccino,5,Normal,,4,58
Cinccino,5,Normal,,5,75
Gothita,5,Psychic,,4,58
Gothorita,5,Psychic,,7,180
Gothitelle,5,Psychic,,15,440
Solosis,5,Psychic,,3,10
Duosion,5,Psychic,,6,80
Reuniclus,5,Psychic,,10,201
Ducklett,5,Water,Flying,5,55
Swanna,5,Water,Flying,13,242
Vanillite,5,Ice,,4,57
Vanillish,5,Ice,,11,410
Vanilluxe,5,Ice,,13,575
Deerling,5,Normal,Grass,6,195
Sawsbuck,5,Normal,Grass,19,925
Emolga,5,Electric,Flying,4,50
Karrablast,5,Bug,,5,59
Escavalier,5,Bug,Steel,10,330
Foongus,5,Grass,Poison,2,10
Amoonguss,5,Grass,Poison,6,105
Frillish,5,Water,Ghost,12,330
Jellicent,5,Water,Ghost,22,1350
Alomomola,5,Water,,12,316
Joltik,5,Bug,Electric,1,6
Galvantula,5,Bug,Electric,8,143
Ferroseed,5,Grass,Steel,6,188
Ferrothorn,5,Grass,Steel,10,1100
Klink,5,Steel,,3,210
Klang,5,Steel,,6,510
Klinklang,5,Steel,,6,810
Tynamo,5,Electric,,2,3
Eelektrik,5,Electric,,12,220
Eelektross,5,Electric,,21,805
Elgyem,5,Psychic,,5,90
Beheeyem,5,Psychic,,10,345
Litwick,5,Ghost,Fire,3,31
Lampent,5,Ghost,Fire,6,130
Chandelure,5,Ghost,Fire,10,343
Axew,5,Dragon,,6,180
Fraxure,5,Dragon,,10,360
Haxorus,5,Dragon,,18,1055
Cubchoo,5,Ice,,5,85
Beartic,5,Ice,,26,2600
Cryogonal,5,Ice,,11,1480
Shelmet,5,Bug,,4,77
Accelgor,5,Bug,,8,253
Stunfisk,5,Ground,Electric,7,110
Mienfoo,5,Fighting,,9,200
Mienshao,5,Fighting,,14,355
Druddigon,5,Dragon,,16,1390
Golett,5,Ground,Ghost,10,920
Golurk,5,Ground,Ghost,28,3300
Pawniard,5,Dark,Steel,5,102
Bisharp,5,Dark,Steel,16,700
Bouffalant,5,Normal,,16,946
Rufflet,5,Normal,Flying,5,105
Braviary,5,Normal,Flying,15,410
Vullaby,5,Dark,Flying,5,90
Mandibuzz,5,Dark,Flying,12,395
Heatmor,5,Fire,,14,580
Durant,5,Bug,Steel,3,330
Deino,5,Dark,Dragon,8,173
Zweilous,5,Dark,Dragon,14,500
Hydreigon,5,Dark,Dragon,18,1600
Larvesta,5,Bug,Fire,11,288
Volcarona,5,Bug,Fire,16,460
Cobalion,5,Steel,Fighting,21,2500
Terrakion,5,Rock,Fighting,19,2600
Virizion,5,Grass,Fighting,20,2000
Tornadus (Incarnate Forme),5,Flying,,15,630
Thundurus (Incarnate Forme),5,Electric,Flying,15,610
Reshiram,5,Dragon,Fire,32,3300
Zekrom,5,Dragon,Electric,29,3450
Landorus (Incarnate Forme),5,Ground,Flying,15,680
Kyurem,5,Dragon,Ice,30,3250
Keldeo (Ordinary Form),5,Water,Fighting,14,485
Meloetta (Aria Forme),5,Normal,Psychic,6,65
Genesect,5,Bug,Steel,15,825
Chespin,6,Grass,,4,90
Quilladin,6,Grass,,7,290
Chesnaught,6,Grass,Fighting,16,900
Fennekin,6,Fire,,4,94
Braixen,6,Fire,,10,145
Delphox,6,Fire,Psychic,15,390
Froakie,6,Water,,3,70
Frogadier,6,Water,,6,109
Greninja,6,Water,Dark,15,400
Bunnelby,6,Normal,,4,50
Diggersby,6,Normal,Ground,10,424
Fletchling,6,Normal,Flying,3,17
Fletchinder,6,Fire,Flying,7,160
Talonflame,6,Fire,Flying,12,245
Scatterbug,6,Bug,,3,25
Spewpa,6,Bug,,3,84
Vivillon,6,Bug,Flying,12,170
Litleo,6,Fire,Normal,6,135
Pyroar,6,Fire,Normal,15,815
Flabebe,6,Fairy,,1,1
Floette,6,Fairy,,2,9
Florges,6,Fairy,,11,100
Skiddo,6,Grass,,9,310
Gogoat,6,Grass,,17,910
Pancham,6,Fighting,,6,80
Pangoro,6,Fighting,Dark,21,1360
Furfrou,6,Normal,,12,280
Espurr,6,Psychic,,3,35
Meowstic Male,6,Psychic,,6,85
Honedge,6,Steel,Ghost,8,20
Doublade,6,Steel,Ghost,8,45
Aegislash (Shield Forme),6,Steel,Ghost,17,530
Spritzee,6,Fairy,,2,5
Aromatisse,6,Fairy,,8,155
Swirlix,6,Fairy,,4,35
Slurpuff,6,Fairy,,8,50
Inkay,6,Dark,Psychic,4,35
Malamar,6,Dark,Psychic,15,470
Binacle,6,Rock,Water,5,310
Barbaracle,6,Rock,Water,13,960
Skrelp,6,Poison,Water,5,73
Dragalge,6,Poison,Dragon,18,815
Clauncher,6,Water,,5,83
Clawitzer,6,Water,,13,353
Helioptile,6,Electric,Normal,5,60
Heliolisk,6,Electric,Normal,10,210
Tyrunt,6,Rock,Dragon,8,260
Tyrantrum,6,Rock,Dragon,25,2700
Amaura,6,Rock,Ice,13,252
Aurorus,6,Rock,Ice,27,2250
Sylveon,6,Fairy,,10,235
Hawlucha,6,Fighting,Flying,8,215
Dedenne,6,Electric,Fairy,2,22
Carbink,6,Rock,Fairy,3,57
Goomy,6,Dragon,,3,28
Sliggoo,6,Dragon,,8,175
Goodra,6,Dragon,,20,1505
Klefki,6,Steel,Fairy,2,30
Phantump,6,Ghost,Grass,4,70
Trevenant,6,Ghost,Grass,15,710
Pumpkaboo (Average Size),6,Ghost,Grass,4,50
Gourgeist (Average Size),6,Ghost,Grass,9,125
Bergmite,6,Ice,,10,995
Avalugg,6,Ice,,20,5050
Noibat,6,Flying,Dragon,5,80
Noivern,6,Flying,Dragon,15,850
Xerneas,6,Fairy,,30,2150
Yveltal,6,Dark,Flying,58,2030
Zygarde 50,6,Dragon,Ground,50,3050
Diancie,6,Rock,Fairy,7,88
Hoopa,6,Psychic,Ghost,5,90
Volcanion,6,Fire,Water,17,1950
Rowlet,7,Grass,Flying,3,15
Dartrix,7,Grass,Flying,7,160
Decidueye,7,Grass,Ghost,16,366
Litten,7,Fire,,4,43
Torracat,7,Fire,,7,250
Incineroar,7,Fire,Dark,18,830
Popplio,7,Water,,4,75
Brionne,7,Water,,6,175
Primarina,7,Water,Fairy,18,440
Pikipek,7,Normal,Flying,3,12
Trumbeak,7,Normal,Flying,6,148
Toucannon,7,Normal,Flying,11,260
Yungoos,7,Normal,,4,60
Gumshoos,7,Normal,,7,142
Grubbin,7,Bug,,4,44
Charjabug,7,Bug,Electric,5,105
Vikavolt,7,Bug,Electric,15,450
Crabrawler,7,Fighting,,6,70
Crabominable,7,Fighting,Ice,17,1800
Oricorio Baile,7,Fire,Flying,6,34
Cutiefly,7,Bug,Fairy,1,2
Ribombee,7,Bug,Fairy,2,5
Rockruff,7,Rock,,5,92
Lycanroc Midday,7,Rock,,8,250
Wishiwashi Solo,7,Water,,2,3
Mareanie,7,Poison,Water,4,80
Toxapex,7,Poison,Water,7,145
Mudbray,7,Ground,,10,1100
